@id,socrata:rowID{Literal},rdf:type{URIRef},rdfs:member{URIRef},ds:consent_cases{Literal},ds:consent_deaths{Literal},ds:created_at{Literal},ds:new_case{Literal},ds:new_death{Literal},ds:state{Literal},ds:submission_date{Literal},ds:tot_cases{Literal},ds:tot_death{Literal},ds:conf_cases{Literal},ds:conf_death{Literal},ds:pnew_case{Literal},ds:pnew_death{Literal},ds:prob_cases{Literal},ds:prob_death{Literal}
ds:row-g8mu.khh4_9m62,row-g8mu.khh4_9m62,dsbase:_9mfq-cb36,dsbase:_9mfq-cb36,Agree,Agree,2020-10-31T00:00:00,191.0,1.0,DE,2020-10-29T00:00:00,24901,689,23761.0,608.0,9,0,1140,81
ds:row-gbnu.36yt.jwxf,row-gbnu.36yt.jwxf,dsbase:_9mfq-cb36,dsbase:_9mfq-cb36,Agree,Agree,2021-10-04T13:57:57,2184.0,10.0,WI,2021-10-03T00:00:00,818555,8921,734383.0,8029.0,182,0,84172,892
ds:row-gszc-4kvg_seft,row-gszc-4kvg_seft,dsbase:_9mfq-cb36,dsbase:_9mfq-cb36,Agree,Agree,2020-11-14T14:44:40,2746.0,11.0,CT,2020-11-13T00:00:00,88645,4737,82854.0,3807.0,108,2,5791,930
ds:row-h7d2-c3s2-5fy2,row-h7d2-c3s2-5fy2,dsbase:_9mfq-cb36,dsbase:_9mfq-cb36,N/A,Agree,2021-09-23T14:07:24,1405.0,16.0,MD,2021-09-22T00:00:00,523760,10348,,10120.0,0,0,,228
ds:row-h89f_e56k-xmsh,row-h89f_e56k-xmsh,dsbase:_9mfq-cb36,dsbase:_9mfq-cb36,N/A,Agree,2021-07-20T14:48:47,294.0,7.0,MD,2021-07-19T00:00:00,464491,9788,,9569.0,0,2,,219
ds:row-hdxd_rb2g.xiuc,row-hdxd_rb2g.xiuc,dsbase:_9mfq-cb36,dsbase:_9mfq-cb36,Agree,Agree,2020-04-15T16:22:39,101.0,2.0,ID,2020-04-15T00:00:00,1587,41,1507.0,41.0,80,0,80,0
ds:row-i7zk.wmib-j84v,row-i7zk.wmib-j84v,dsbase:_9mfq-cb36,dsbase:_9mfq-cb36,Agree,Agree,2020-03-26T16:22:39,0.0,0.0,IL,2020-02-09T00:00:00,2,0,,,,,,
ds:row-ibin.zbiy_ivmi,row-ibin.zbiy_ivmi,dsbase:_9mfq-cb36,dsbase:_9mfq-cb36,,,2021-07-07T14:48:49,10.0,2.0,VI,2021-07-06T00:00:00,3942,32,,,0,0,,
ds:row-idix-dmt5.z3wm,row-idix-dmt5.z3wm,dsbase:_9mfq-cb36,dsbase:_9mfq-cb36,Not agree,Not agree,2020-09-18T00:00:00,422.0,3.0,NE,2020-09-16T00:00:00,39466,439,,,0,0,,
ds:row-ihzk_xyu5.yen6,row-ihzk_xyu5.yen6,dsbase:_9mfq-cb36,dsbase:_9mfq-cb36,Agree,Agree,2021-07-22T15:06:50,45.0,0.0,DE,2021-07-21T00:00:00,110502,1697,102781.0,1551.0,0,0,7721,146
