@id,socrata:rowID{Literal},rdf:type{URIRef},rdfs:member{URIRef},ds:conf_cases{Literal},ds:conf_death{Literal},ds:consent_cases{Literal},ds:consent_deaths{Literal},ds:created_at{Literal},ds:new_case{Literal},ds:new_death{Literal},ds:pnew_case{Literal},ds:pnew_death{Literal},ds:prob_cases{Literal},ds:prob_death{Literal},ds:state{Literal},ds:submission_date{Literal},ds:tot_cases{Literal},ds:tot_death{Literal}
https://data.cdc.gov/resource/_9mfq-cb36/row-bbyu~j3sk_7gfm,row-bbyu~j3sk_7gfm,dsbase:_9mfq-cb36,dsbase:_9mfq-cb36,313273.0,6023.0,Agree,Agree,2021-01-04T00:00:00,3451.0,78.0,1010,19,80874,1325,AL,2021-01-02T00:00:00,394147,7348
https://data.cdc.gov/resource/_9mfq-cb36/row-bcbe~tsdq~akdm,row-bcbe~tsdq~akdm,dsbase:_9mfq-cb36,dsbase:_9mfq-cb36,,,Not agree,Not agree,2020-09-08T14:47:00,0.0,0.0,0,0,,,GU,2020-09-07T00:00:00,1619,14
https://data.cdc.gov/resource/_9mfq-cb36/row-bepf~3gax_gwk6,row-bepf~3gax_gwk6,dsbase:_9mfq-cb36,dsbase:_9mfq-cb36,804586.0,11335.0,Agree,Agree,2021-04-12T00:00:00,1251.0,12.0,394,0,131427,1493,NC,2021-04-12T00:00:00,936013,12828
https://data.cdc.gov/resource/_9mfq-cb36/row-bkgm~fm9z~j2uq,row-bkgm~fm9z~j2uq,dsbase:_9mfq-cb36,dsbase:_9mfq-cb36,,4012.0,N/A,Agree,2020-10-18T00:00:00,798.0,7.0,0,0,,157,MD,2020-10-16T00:00:00,135127,4169
https://data.cdc.gov/resource/_9mfq-cb36/row-c3jr~5zmh_5d5g,row-c3jr~5zmh_5d5g,dsbase:_9mfq-cb36,dsbase:_9mfq-cb36,9916.0,189.0,Agree,Agree,2020-11-26T14:44:21,0.0,0.0,0,0,1111,1,ME,2020-11-25T00:00:00,11027,190
https://data.cdc.gov/resource/_9mfq-cb36/row-c4qg~dr6n_qngs,row-c4qg~dr6n_qngs,dsbase:_9mfq-cb36,dsbase:_9mfq-cb36,,,Not agree,Not agree,2021-10-05T13:39:21,431.0,2.0,0,0,,,NH,2021-10-04T00:00:00,122054,1485
https://data.cdc.gov/resource/_9mfq-cb36/row-c4tv~6pgt~xtuz,row-c4tv~6pgt~xtuz,dsbase:_9mfq-cb36,dsbase:_9mfq-cb36,,7820.0,N/A,Agree,2021-02-15T00:00:00,847.0,26.0,0,0,,200,MD,2021-02-13T00:00:00,370983,8020
https://data.cdc.gov/resource/_9mfq-cb36/row-c8q8_j4xt~qgwg,row-c8q8_j4xt~qgwg,dsbase:_9mfq-cb36,dsbase:_9mfq-cb36,,,Not agree,Not agree,2020-05-29T00:00:00,262.0,8.0,0,0,,,MO,2020-05-27T00:00:00,13208,858
https://data.cdc.gov/resource/_9mfq-cb36/row-cbss-kqka~qr2g,row-cbss-kqka~qr2g,dsbase:_9mfq-cb36,dsbase:_9mfq-cb36,796264.0,13343.0,Agree,Agree,2020-12-08T14:59:49,8691.0,100.0,0,12,0,873,IL,2020-12-07T00:00:00,796264,14216
https://data.cdc.gov/resource/_9mfq-cb36/row-cefx-i6cx~2nty,row-cefx-i6cx~2nty,dsbase:_9mfq-cb36,dsbase:_9mfq-cb36,22932.0,694.0,Agree,Agree,2020-06-16T14:10:11,185.0,2.0,11,0,2548,6,WI,2020-06-15T00:00:00,25480,700
